#,Traffic (desc),Traffic (Percent %),# of Keywords,Referring Domains,URL,Top Keyword,Its Volume,Position,Page URL inside,Traffic value
159,4826,0.09,608,90,https://www.gsmarena.com/samsung_galaxy_j3_(2018)-8928.php,galaxy j3,10000,1,,3894
160,4766,0.09,819,963,https://www.gsmarena.com/samsung_i9300_galaxy_s_iii-4238.php,samsung galaxy s3,6900,3,,3615
161,4755,0.09,851,175,https://www.gsmarena.com/motorola_moto_x_(2nd_gen)-6649.php,moto x,5900,3,,3826
162,4693,0.09,159,327,https://www.gsmarena.com/xiaomi_mi_5-6948.php,xiaomi mi5,4800,1,,1158
163,4693,0.09,1044,770,https://www.gsmarena.com/apple_iphone_x-8858.php,iphone x specs,4800,2,,1420
164,4692,0.09,860,320,https://www.gsmarena.com/samsung_galaxy_note7-8082.php,note 7,12000,4,,7073
165,4686,0.09,375,32,https://www.gsmarena.com/samsung_galaxy_j7_v-8778.php,galaxy j7 v,1700,1,,80
166,4680,0.09,749,57,https://www.gsmarena.com/samsung_galaxy_on5-7648.php,samsung galaxy on5,2300,1,,5895
167,4656,0.09,309,187,https://www.gsmarena.com/samsung_galaxy_j7_prime-8314.php,samsung j7 prime,5300,1,,6801
168,4581,0.09,325,46,https://www.gsmarena.com/compare.php3?idPhone1=7821&idPhone2=7945,galaxy s7 vs s7 edge,800,1,,14783
169,4542,0.09,595,191,https://www.gsmarena.com/motorola_moto_g_(3rd_gen)-7247.php,moto g3,1800,1,,2649
170,4468,0.09,45,106,https://www.gsmarena.com/motorola_moto_e6-9682.php,moto e6,46000,3,,6365
171,4440,0.09,144,91,https://www.gsmarena.com/apple_ipad_pro_12_9_(2021)-10864.php,ipad pro 12.9,67000,4,,4633
172,4435,0.09,612,178,https://www.gsmarena.com/motorola_moto_g4_plus-8050.php,moto g4 plus,4800,1,,3163
173,4430,0.09,51,217,https://www.gsmarena.com/huawei_p10-8514.php,huawei p10,13000,1,,635
174,4418,0.09,65,90,https://www.gsmarena.com/motorola_moto_z3_play-9003.php,moto z3 play,8600,1,,2
175,4416,0.09,854,286,https://www.gsmarena.com/google_pixel_xl-8345.php,pixel xl specs,1600,1,,3965
176,4413,0.09,993,33,https://www.gsmarena.com/samsung_galaxy_s7_(usa)-7960.php,s7 specs,3500,2,,6354
177,4391,0.09,108,40,https://www.gsmarena.com/samsung_galaxy_note10_5g-9789.php,samsung galaxy note 10,83000,5,,6223
178,4353,0.08,211,68,https://www.gsmarena.com/motorola_moto_e4-8721.php,moto e4,9000,1,,147
179,4341,0.08,36,325,https://www.gsmarena.com/xiaomi_mi_9-9507.php,xiaomi mi 9,16000,1,,254
180,4338,0.08,669,208,https://www.gsmarena.com/asus_google_nexus_7_(2013)-5600.php,nexus 7 2013,2000,1,,1582
181,4331,0.08,740,208,https://www.gsmarena.com/lg_v10-7606.php,lg v10,6100,1,,4543
182,4283,0.08,16,67,https://www.gsmarena.com/tsmc_starts_mass_production_of_5nm_a15_chip_iphone_13_on_schedule_-news-49312.php,iphone 13,119000,1,Top stories,42399
183,4281,0.08,1037,56,https://www.gsmarena.com/samsung_galaxy_s7_edge_(usa)-7961.php,galaxy s7 edge,18000,3,,7101
184,4234,0.08,263,151,https://www.gsmarena.com/samsung_galaxy_tab_s6-9781.php,tab s6,26000,5,,1495
185,4232,0.08,179,147,https://www.gsmarena.com/oneplus_x-7630.php,oneplus x,3300,1,,2462
186,4204,0.08,626,105,https://www.gsmarena.com/samsung_galaxy_tab_s2_9_7-7438.php,samsung galaxy tab s2,9600,5,,4467
187,4174,0.08,877,195,https://www.gsmarena.com/motorola_droid_turbo-6727.php,droid turbo,2800,1,,4961
188,4158,0.08,13,353,https://www.gsmarena.com/xiaomi_redmi_note_9_pro-10217.php,xiaomi redmi note 9,22000,3,,21
189,4137,0.08,994,460,https://www.gsmarena.com/apple_iphone_se-7969.php,iphone se specs,13000,7,,12675
190,4088,0.08,44,135,https://www.gsmarena.com/sony_xperia_xz2-9081.php,sony xperia xz2,4700,1,,320
191,4073,0.08,11,233,https://www.gsmarena.com/samsung_galaxy_a30s-9796.php,samsung galaxy a30s,6500,1,,0
192,4061,0.08,43,108,https://www.gsmarena.com/microsoft_surface_duo-10365.php,surface duo,124000,12,,1394
193,4021,0.08,114,55,https://www.gsmarena.com/motorola_moto_e5_plus-9095.php,moto e5 plus,6600,1,,1
194,4008,0.08,496,62,https://www.gsmarena.com/samsung_galaxy_tab_4_7_0-6251.php,samsung galaxy tab 4,10000,5,,8685
195,3977,0.08,743,332,https://www.gsmarena.com/asus_google_nexus_7-4850.php,nexus 7,8900,4,,2119
196,3948,0.08,678,40,https://www.gsmarena.com/lg_stylo_2-8085.php,lg stylo 2,5000,1,,6784
197,3940,0.08,410,287,https://www.gsmarena.com/oneplus_2-6902.php,oneplus 2,2300,1,,1031
198,3928,0.08,887,349,https://www.gsmarena.com/apple-phones-48.php,gsmarena,112000,1,Sitelinks,13811
199,3919,0.08,2993,567,https://www.gsmarena.com/samsung-phones-9.php,all samsung phones,1900,1,,11340
200,3906,0.08,85,151,https://www.gsmarena.com/huawei_p8lite-7201.php,huawei p8 lite,7400,1,,993
201,3898,0.08,712,465,https://www.gsmarena.com/lg_nexus_5-5705.php,lg nexus 5,1700,1,,2033
202,3854,0.07,56,115,https://www.gsmarena.com/huawei_mate_10-8877.php,huawei mate 10,9000,1,,1750
203,3851,0.07,4,56,https://www.gsmarena.com/zte_nubia_red_magic_3s-9839.php,red magic 3s,13000,1,,0
204,3848,0.07,29,32,https://www.gsmarena.com/samsung_galaxy_a10e-reviews-9790.php,samsung galaxy a10e reviews,19000,3,,404
205,3802,0.07,109,118,https://www.gsmarena.com/asus_zenfone_3_ze552kl-8106.php,asus zenfone 3,3500,1,,801
206,3799,0.07,36,202,https://www.gsmarena.com/samsung_galaxy_note20-10338.php,note 20 specs,3000,1,,0
207,3794,0.07,16,201,https://www.gsmarena.com/xiaomi_poco_f2_pro-10220.php,poco f2,9100,1,,0
